accession	assay_type	center_name	consent	experiment	sample_name	instrument	librarylayout	libraryselection	librarysource	platform	sample_acc	biosample	organism	sra_study	date_released	bioproject	mbytes	loaddate	avgspotlen	mbases	insertsize	library_name	biosamplemodel_sam	country	region	geo_loc_name_sam	ena_first_public_run	ena_last_update_run	sample_name_sam	datastore_filetype	datastore_provider	datastore_region	collection_date_sam	date	strain
SRR22179510	WGS	RIVM	public	SRX18158183	QC_2020_nr13	Illumina HiSeq 2500	SINGLE	RANDOM	GENOMIC	ILLUMINA	SRS15658355	SAMN31551454	Mycobacterium tuberculosis	SRP406148	2022-11-04	PRJNA896516	80		211	220		QC_2020_nr13_filt	[Pathogen.cl]	Netherlands	Europe	[Netherlands]				[fastq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]		2020-XX-XX	SRR22179510
SRR16058683	WGS	PUBLIC HEALTH ONTARIO	public	SRX12345180	2007-412	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRS10317559	SAMN21616218	Mycobacterium tuberculosis	SRP338617	2021-09-24	PRJNA766079	188		296	302		2007-412	[Pathogen.cl]	Canada	North America	['Canada: Ontario']				[fastq, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]		2007-XX-XX	SRR16058683
ERR13289785	WGS	UNIVERSITY OF OXFORD, NUFFIELD DEPARTMENT OF MEDIC	public	ERX12660211	SAMEA115748930	Illumina MiSeq	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	ERS20265217	SAMEA115748930	Mycobacterium tuberculosis	ERP161058	2024-07-29	PRJEB76547	207		297	326		adc5716a67e1 Public Health England 15.0610529-1-1		United Kingdom	Europe		[2024-06-16]	[2024-06-16]	[adc5716a67e1]	[fastq, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]		2017-XX-XX	ERR13289785
SRR3086358	WGS	SAN RAFFAELE INSTITUTE	public	SRX1516931	307_15	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRS1237656	SAMN04385660	Mycobacterium tuberculosis	SRP068011	2017-01-08	PRJNA306588	164		202	257		307_15_WGS	[Pathogen.cl]	Tajikistan	Asia	[Tajikistan]				[run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]		2009-XX-XX	SRR3086358
SRR29081046	WGS	RESEARCH INSTITUTE FOR TROPICAL MEDICINE	public	SRX24605202	H-19-0007	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRS21342946	SAMN41453946	Mycobacterium tuberculosis	SRP508604	2024-05-20	PRJNA1113402	184		399	310		H-19-0007	[Pathogen.cl]	Philippines	Asia	[Philippines]				[fastq, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]	[2019-08-06]	2019-08-06	SRR29081046
SRR6384970	WGS	NIH / NIAID	public	SRX3478525	AZE-02-022_10409	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRS2764511	SAMN08197031	Mycobacterium tuberculosis	SRP126325	2017-12-18	PRJNA421446	154		302	388		AZE-02-022_10409	[Pathogen.cl]	Azerbaijan	Asia	['Azerbaijan: Baku']				[fastq, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]	[2016-06-01]	2016-06-XX	SRR6384970
