accession	assay_type	center_name	consent	experiment	sample_name	instrument	librarylayout	libraryselection	librarysource	platform	sample_acc	biosample	organism	sra_study	date_released	bioproject	mbytes	loaddate	avgspotlen	mbases	insertsize	library_name	biosamplemodel_sam	country	region	geo_loc_name_sam	ena_first_public_run	ena_last_update_run	sample_name_sam	datastore_filetype	datastore_provider	datastore_region	collection_date_sam	date	strain
SRR7898226	WGS	NATIONAL INSTITUTE FOR RESEARCH IN TUBERCULOSIS	public	SRX4735643	NIRTX016_MDR	Illumina MiSeq	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRS3817755	SAMN10120085	Mycobacterium tuberculosis	SRP162502	2018-10-10	PRJNA492975	148	NULL	151	345	NULL	SO_3663_16	[Pathogen.cl]	India	Asia	[India]	NULL	NULL	NULL	[fastq, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]	[2002-09-16]	2002-09-16	SRR7898226
SRR13180339	WGS	SCIENSANO	public	SRX9618380	S10MY00981	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRS7820578	SAMN16966012	Mycobacterium tuberculosis	SRP295468	2021-04-07	PRJNA681718	163	NULL	485	312	NULL	S10MY00981	[Pathogen.cl]	Belgium	Europe	[Belgium]	NULL	NULL	NULL	[fastq, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]	NULL	2010-XX-XX	SRR13180339
SRR29096937	WGS	FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS	public	SRX24620822	AFDEC7_8DDB54D51149	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRS21357976	SAMN41472197	Mycobacterium tuberculosis	SRP507535	2024-05-21	PRJNA1109295	109	NULL	302	256	NULL	AFDEC7_8DDB54D51149_1500134	[Pathogen.cl]	Malaysia	Asia	[Malaysia]	NULL	NULL	NULL	[fastq, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]	NULL	2011-XX-XX	SRR29096937
SRR14164553	WGS	STANFORD UNIVERSITY	public	SRX10532775	T1-730-2017-47-S18	NextSeq 550	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRS8656048	SAMN18648305	Mycobacterium tuberculosis	SRP289688	2021-05-18	PRJNA671770	157	NULL	302	372	NULL	ms_423	[Pathogen.cl]	Brazil	South America	['Brazil:Mato Grosso do Sul, Dourados']	NULL	NULL	NULL	[fastq, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]	[2017-02-20]	2017-02-20	SRR14164553
SRR12882260	WGS	SWISSTPH	public	SRX9347972	G01098	Illumina MiSeq	PAIRED	unspecified	GENOMIC	ILLUMINA	SRS7570957	SAMN16521731	Mycobacterium tuberculosis	SRP288262	2021-01-19	PRJNA670836	190	NULL	502	362	NULL	G01098	[Pathogen.cl]	Papua New Guinea	Oceania	[Papua New Guinea]	NULL	NULL	NULL	[fastq, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]	NULL	2011-XX-XX	SRR12882260
SRR13180231	WGS	SCIENSANO	public	SRX9618488	S20BD00569	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRS7820686	SAMN16966235	Mycobacterium tuberculosis	SRP295468	2021-04-07	PRJNA681718	170	NULL	473	333	NULL	S20BD00569	[Pathogen.cl]	Belgium	Europe	[Belgium]	NULL	NULL	NULL	[fastq, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]	NULL	2020-XX-XX	SRR13180231
SRR18213779	WGS	MODMEDMICOXFORD	public	SRX14360405	MMMOSAM:1ebdc8ed-1d83-4fb3-a366-9ef9b4cd2ccb	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRS12173927	SAMN26038140	Mycobacterium tuberculosis	SRP076676	2022-03-03	PRJNA302362	271	NULL	200	397	NULL	1ebdc8ed-1d83-4fb3-a366-9ef9b4cd2ccb	[Pathogen.cl]	United Kingdom	Europe	['United Kingdom: Birmingham']	NULL	NULL	NULL	[bam, run.zq, sra]	[gs, ncbi, s3]	[gs.us-east1, ncbi.public, s3.us-east-1]	NULL	2009-XX-XX	SRR18213779
